id,state,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,-0.385218228
1,Alabama,AL,19.30,0.50,38.60,0.20,42830.00,598.00,13.90,12.70,15.10,33.50,32.10,35.00,21.10,19.80,22.50,
2,Alaska,AK,11.20,0.90,33.30,0.30,71583.00,1784.00,15.00,13.30,16.60,29.70,27.80,31.60,19.90,18.20,21.60,
4,Arizona,AZ,18.20,0.40,36.90,0.10,50068.00,483.00,14.40,13.30,15.60,28.90,27.70,30.20,16.50,15.40,17.60,
5,Arkansas,AR,18.90,0.50,37.80,0.20,41262.00,653.00,16.30,14.40,18.20,35.90,33.80,38.00,24.70,22.70,26.70,
6,California,CA,16.40,0.20,36.00,0.10,61933.00,238.00,14.80,13.80,15.80,24.70,23.50,25.90,12.90,11.90,13.80,
8,Colorado,CO,12.00,0.40,36.30,0.10,61303.00,487.00,12.80,11.90,13.60,21.30,20.40,22.20,15.70,14.80,16.60,
9,Connecticut,CT,10.80,0.50,40.50,0.20,70048.00,828.00,8.70,7.60,9.70,26.30,24.80,27.70,15.40,14.20,16.70,
10,Delaware,DE,12.50,0.90,39.60,0.30,59716.00,1674.00,8.70,7.40,9.90,30.70,28.60,32.70,19.90,17.90,21.80,
11,Washington D.C.,DC,17.70,1.20,33.80,0.20,71648.00,1996.00,8.30,6.30,10.30,21.70,19.50,23.90,16.40,14.20,18.60,
12,Florida,FL,16.50,0.30,41.60,0.10,47463.00,329.00,17.60,16.40,18.80,26.20,25.00,27.50,17.70,16.50,18.80,
13,Georgia,GA,18.30,0.40,36.10,0.10,49321.00,543.00,20.90,19.30,22.50,30.50,28.90,32.10,17.40,15.90,18.80,
15,Hawaii,HI,11.40,0.80,38.10,0.20,69592.00,1456.00,8.10,7.10,9.00,22.10,20.70,23.50,14.10,13.00,15.30,
16,Idaho,ID,14.80,0.70,35.90,0.20,47861.00,1275.00,16.50,15.00,18.10,28.90,27.10,30.80,15.90,14.40,17.40,
17,Illinois,IL,14.40,0.30,37.50,0.20,57444.00,429.00,11.90,10.50,13.30,29.30,27.60,31.10,16.50,15.10,18.00,
18,Indiana,IN,15.20,0.40,37.40,0.20,49446.00,487.00,14.80,13.80,15.80,32.70,31.50,33.90,22.90,21.80,24.10,
19,Iowa,IA,12.20,0.50,38.20,0.10,53712.00,761.00,7.70,6.80,8.60,30.90,29.60,32.30,18.50,17.30,19.70,
20,Kansas,KS,13.60,0.50,36.20,0.10,52504.00,706.00,14.50,13.70,15.30,31.30,30.30,32.20,18.10,17.20,18.90,
21,Kentucky,KY,19.10,0.50,38.50,0.20,42958.00,697.00,10.00,8.80,11.10,31.60,30.20,33.10,26.20,24.70,27.70,
22,Louisiana,LA,19.80,0.50,36.10,0.10,44555.00,738.00,18.70,17.40,20.00,34.90,33.40,36.40,24.00,22.60,25.40,
23,Maine,ME,14.10,0.70,44.10,0.20,49462.00,1112.00,11.00,10.00,12.00,28.20,26.90,29.50,19.30,18.10,20.50,
24,Maryland,MD,10.10,0.40,38.30,0.10,73971.00,867.00,9.20,8.00,10.40,29.60,28.10,31.10,14.60,13.40,15.90,
25,Massachusetts,MA,11.60,0.30,39.40,0.20,69160.00,957.00,4.60,4.00,5.20,23.30,22.30,24.40,14.70,13.70,15.70,
26,Michigan,MI,16.20,0.30,39.60,0.10,49847.00,385.00,10.30,9.30,11.20,30.70,29.40,32.00,21.20,20.00,22.50,
27,Minnesota,MN,11.50,0.40,37.80,0.10,61481.00,471.00,7.30,6.70,7.90,27.60,26.80,28.50,16.30,15.60,17.00,
28,Mississippi,MS,21.50,0.60,36.70,0.20,39680.00,773.00,18.80,17.00,20.70,35.50,33.40,37.60,23.00,21.00,24.90,
29,Missouri,MO,15.50,0.40,38.50,0.10,48363.00,567.00,12.90,11.60,14.30,30.20,28.60,31.90,20.60,19.20,22.10,
30,Montana,MT,15.40,0.80,39.60,0.30,46328.00,1217.00,12.90,11.60,14.10,26.40,24.90,27.90,19.90,18.50,21.40,
31,Nebraska,NE,12.40,0.50,36.20,0.20,52686.00,688.00,12.40,11.50,13.20,30.20,29.20,31.20,17.30,16.50,18.20,
32,Nevada,NV,15.20,0.70,37.40,0.20,51450.00,683.00,17.10,15.00,19.30,27.70,25.30,30.10,17.00,15.00,19.00,
